***********************************
You have loaded a Miniforge3 module
***********************************
---------------------------------------------------------------------------------------------------
NOTE: NSC strongly advices against placing 'mamba activate' (or 'conda
activate', with or without
      arguments) or conda initialize commands in your shell initialization
files, (e.g. '.bashrc' or '.bash_profile') since
      this severely alters the environment for running software in ways that
cause unpredictable
      issues that can be difficult to diagnose.
---------------------------------------------------------------------------------------------------

testar
T1 files: 71, T2 files: 71, T2 LR files: 71
71
Train patches: 49, Val patches: 11, Test patches: 11
Number of training batches: 3675
Network initialized
Number of epochs: 500
Using: cuda (SLURM GPUs: 1)
Starting training...
Epoch 153/500, Loss: 0.0002
Epoch 154/500, Loss: 0.0002
Epoch 155/500, Loss: 0.0002
Epoch 156/500, Loss: 0.0002
Epoch 157/500, Loss: 0.0002
Epoch 158/500, Loss: 0.0002
Epoch 159/500, Loss: 0.0002
Epoch 160/500, Loss: 0.0002
Epoch 161/500, Loss: 0.0002
Epoch 162/500, Loss: 0.0002
Epoch 163/500, Loss: 0.0002
Epoch 164/500, Loss: 0.0002
Epoch 165/500, Loss: 0.0002
Epoch 166/500, Loss: 0.0002
Epoch 167/500, Loss: 0.0002
Epoch 168/500, Loss: 0.0002
Epoch 169/500, Loss: 0.0002
Epoch 170/500, Loss: 0.0002
Epoch 171/500, Loss: 0.0002
Epoch 172/500, Loss: 0.0002
Epoch 173/500, Loss: 0.0002
Epoch 174/500, Loss: 0.0002
Epoch 175/500, Loss: 0.0002
Epoch 176/500, Loss: 0.0002
Epoch 177/500, Loss: 0.0002
Epoch 178/500, Loss: 0.0002
Epoch 179/500, Loss: 0.0002
Epoch 180/500, Loss: 0.0002
Epoch 181/500, Loss: 0.0002
Epoch 182/500, Loss: 0.0002
Epoch 183/500, Loss: 0.0002
Epoch 184/500, Loss: 0.0002
Epoch 185/500, Loss: 0.0002
Epoch 186/500, Loss: 0.0002
Epoch 187/500, Loss: 0.0002
Epoch 188/500, Loss: 0.0002
Epoch 189/500, Loss: 0.0002
Epoch 190/500, Loss: 0.0002
Epoch 191/500, Loss: 0.0002
Epoch 192/500, Loss: 0.0002
Epoch 193/500, Loss: 0.0002
Epoch 194/500, Loss: 0.0002
Epoch 195/500, Loss: 0.0002
Epoch 196/500, Loss: 0.0002
Epoch 197/500, Loss: 0.0002
Epoch 198/500, Loss: 0.0002
Epoch 199/500, Loss: 0.0002
Epoch 200/500, Loss: 0.0002
Epoch 201/500, Loss: 0.0002
Epoch 202/500, Loss: 0.0002
Epoch 203/500, Loss: 0.0002
